"Date","Price","Open","High","Low","Vol.","Change %"
"08/16/2023","532.00","521.70","538.85","512.65","3.63M","1.97%"
"08/14/2023","521.70","529.00","529.00","508.50","1.98M","-1.54%"
"08/11/2023","529.85","537.15","540.95","525.55","2.63M","-1.29%"
"08/10/2023","536.75","549.95","551.45","532.10","1.88M","-2.40%"
"08/09/2023","549.95","558.00","559.00","545.40","2.28M","-1.71%"
"08/08/2023","559.50","590.00","591.95","554.05","2.93M","-4.09%"
"08/07/2023","583.35","545.15","588.95","539.75","3.10M","8.37%"
"08/04/2023","538.30","550.05","552.30","527.00","4.95M","-3.13%"
"08/03/2023","555.70","571.20","574.00","546.70","3.50M","-2.71%"
"08/02/2023","571.20","573.00","580.90","540.50","3.92M","-0.19%"
"08/01/2023","572.30","594.90","594.95","568.25","2.48M","-3.80%"
"07/31/2023","594.90","604.00","605.80","589.80","1.73M","-1.84%"
"07/28/2023","606.05","604.00","609.80","603.00","373.57K","0.51%"
"07/27/2023","602.95","609.80","609.95","600.65","659.02K","-0.82%"
"07/26/2023","607.95","614.20","614.20","602.00","1.22M","-0.48%"
"07/25/2023","610.90","614.30","618.00","605.40","1.27M","-0.12%"
"07/24/2023","611.65","606.90","615.00","600.00","1.13M","1.48%"
"07/21/2023","602.75","605.45","611.75","600.00","814.58K","-1.07%"
"07/20/2023","609.25","610.00","616.55","605.05","686.74K","-0.38%"
"07/19/2023","611.55","605.00","614.75","600.00","2.48M","1.27%"
"07/18/2023","603.90","611.90","611.95","601.00","1.06M","-1.32%"
"07/17/2023","612.00","604.20","613.00","599.15","2.04M","1.87%"
"07/14/2023","600.75","621.00","622.10","595.05","2.46M","-2.97%"
"07/13/2023","619.15","617.90","623.00","614.00","1.50M","0.64%"
"07/12/2023","615.20","621.00","621.40","611.45","1.13M","-0.68%"
"07/11/2023","619.40","614.65","623.20","611.25","2.17M","1.10%"
"07/10/2023","612.65","610.00","617.20","608.60","812.69K","0.45%"
"07/07/2023","609.90","613.80","619.40","605.40","819.01K","-0.71%"
"07/06/2023","614.25","607.70","618.60","602.10","6.20M","1.76%"
"07/05/2023","603.65","598.00","612.35","593.85","4.90M","1.65%"
"07/04/2023","593.85","605.00","608.60","590.15","1.32M","-1.98%"
"07/03/2023","605.85","600.00","608.40","596.00","1.22M","1.07%"
"06/30/2023","599.45","609.00","620.85","596.70","2.20M","-0.64%"
"06/28/2023","603.30","609.70","623.45","598.30","5.72M","-1.04%"
"06/27/2023","609.65","609.65","616.85","605.85","1.88M","1.16%"
"06/26/2023","602.65","578.65","609.00","578.65","2.07M","3.81%"
"06/23/2023","580.55","577.00","585.50","565.25","1.46M","-0.07%"
"06/22/2023","580.95","581.40","586.95","571.25","1.29M","0.27%"
"06/21/2023","579.40","588.45","594.80","575.55","2.09M","-0.80%"
"06/20/2023","584.05","601.25","602.85","582.35","1.97M","-2.93%"
"06/19/2023","601.65","597.35","630.00","595.50","2.09M","1.22%"
"06/16/2023","594.40","590.00","600.55","585.85","1.94M","1.61%"
"06/15/2023","585.00","585.65","593.45","575.65","1.52M","0.27%"
"06/14/2023","583.40","575.00","584.65","573.25","2.60M","1.19%"
"06/13/2023","576.55","569.05","579.70","567.05","4.84M","1.71%"
"06/12/2023","566.85","571.90","573.70","562.95","986.66K","-0.50%"
"06/09/2023","569.70","559.40","577.40","557.50","4.52M","2.21%"
"06/08/2023","557.40","559.85","562.10","549.05","3.58M","-0.44%"
"06/07/2023","559.85","526.95","565.00","526.75","6.09M","6.86%"
"06/06/2023","523.90","510.00","528.00","508.80","3.90M","0.93%"
"06/05/2023","519.05","533.75","537.40","515.00","2.21M","-2.25%"
"06/02/2023","531.00","532.00","539.00","527.50","3.98M","-0.37%"
"06/01/2023","532.95","545.85","547.90","528.10","5.17M","-3.00%"
"05/31/2023","549.45","542.00","562.00","522.15","101.08M","2.56%"
"05/30/2023","535.75","539.80","546.80","532.55","7.78M","-0.21%"
"05/29/2023","536.90","542.40","548.00","534.05","2.28M","-0.61%"
"05/26/2023","540.20","540.45","556.95","535.00","4.48M","0.65%"
"05/25/2023","536.70","559.90","559.90","528.50","4.29M","-3.77%"
"05/24/2023","557.75","555.55","562.50","550.00","13.09M","0.72%"
"05/23/2023","553.75","558.00","564.75","546.45","9.70M","0.22%"
"05/22/2023","552.55","549.90","558.85","543.25","12.22M","1.36%"
"05/19/2023","545.15","534.25","552.10","534.25","6.72M","2.05%"
"05/18/2023","534.20","524.90","536.00","520.05","4.75M","2.22%"
"05/17/2023","522.60","512.30","528.40","508.50","5.22M","2.92%"
"05/16/2023","507.75","521.90","525.00","502.00","5.65M","-2.34%"
"05/15/2023","519.90","499.50","524.70","495.60","4.28M","4.01%"
"05/12/2023","499.85","509.00","513.25","497.25","13.43M","3.26%"
"05/11/2023","484.05","480.00","485.80","478.60","2.02M","0.81%"
"05/10/2023","480.15","483.25","483.25","468.10","1.76M","-0.24%"
"05/09/2023","481.30","481.10","484.75","471.20","2.15M","0.56%"
"05/08/2023","478.60","487.50","490.35","474.35","1.94M","-1.17%"
"05/05/2023","484.25","480.00","486.00","476.10","707.70K","0.64%"
"05/04/2023","481.15","471.65","484.40","469.05","1.22M","1.07%"
"05/03/2023","476.05","474.70","482.40","468.25","2.80M","0.26%"
"05/02/2023","474.80","460.90","479.00","460.45","1.89M","3.21%"
"04/28/2023","460.05","454.00","462.10","449.00","1.11M","1.74%"
"04/27/2023","452.20","442.55","454.40","438.45","1.15M","2.70%"
"04/26/2023","440.30","441.05","445.35","436.90","1.13M","0.05%"
"04/25/2023","440.10","447.00","450.55","435.05","8.06M","-2.16%"
"04/24/2023","449.80","453.45","454.15","443.00","948.44K","-0.80%"
"04/21/2023","453.45","466.60","467.25","451.15","1.28M","-2.57%"
"04/20/2023","465.40","471.40","475.90","465.00","1.12M","-0.94%"
"04/19/2023","469.80","466.25","477.95","464.55","2.42M","1.27%"
"04/18/2023","463.90","471.00","471.00","460.25","2.52M","-1.57%"
